User_Query,Chatbot_Response
Hello,"Hello, How can I help you."
hello,"Hello, How can I help you."
hi,"Hello, How can I help you."
Hi,"Hello, How can I help you."
I am feeling depressed,I'm sorry you're feeling this way. Try talking to a friend or journaling your thoughts.
I have anxiety issues,Take deep breaths and try relaxation exercises like meditation or yoga.
I feel lonely,"Engage in social activities, even if they are small, like calling a friend."
I can't sleep at night,Avoid screens before bed and maintain a consistent sleep schedule.
I feel overwhelmed,Break tasks into smaller steps and take short breaks to ease the load.
I am stressed about work,Try organizing your tasks with a to-do list to reduce stress.
I have lost interest in everything,Engage in hobbies or activities that once brought you joy.
I feel hopeless,"Remember, tough times don't last. Seek support from loved ones."
I feel sad all the time,"Express your feelings through art, music, or writing."
I lack motivation,Start with small goals to build motivation step by step.
I am worried about my future,Focus on what you can control and take small actions toward your goals.
I have mood swings,Keep track of mood patterns and identify potential triggers.
I feel empty inside,Practicing mindfulness can help you stay connected with your emotions.
I am afraid of failure,Failures are stepping stones to success. Learn and grow from them.
I feel like crying,"Crying is okay—allow yourself to feel, then find ways to comfort yourself."
I feel insecure,Recognize your strengths and practice self-affirmations.
I am struggling with self-esteem,You are valuable. Surround yourself with people who uplift you.
I have social anxiety,Start with small social interactions and gradually build confidence.
I feel worthless,You are not alone—many people struggle with this. Reach out for support.
I have negative thoughts,Challenge negative thoughts by questioning their validity.
I am feeling depressed,I'm sorry you're feeling this way. Try talking to a friend or journaling your thoughts.
I have anxiety issues,Take deep breaths and try relaxation exercises like meditation or yoga.
I feel lonely,"Engage in social activities, even if they are small, like calling a friend."
I can't sleep at night,Avoid screens before bed and maintain a consistent sleep schedule.
I feel overwhelmed,Break tasks into smaller steps and take short breaks to ease the load.
I am stressed about work,Try organizing your tasks with a to-do list to reduce stress.
I have lost interest in everything,Engage in hobbies or activities that once brought you joy.
I feel hopeless,"Remember, tough times don't last. Seek support from loved ones."
I feel sad all the time,"Express your feelings through art, music, or writing."
I lack motivation,Start with small goals to build motivation step by step.
I am worried about my future,Focus on what you can control and take small actions toward your goals.
I have mood swings,Keep track of mood patterns and identify potential triggers.
I feel empty inside,Practicing mindfulness can help you stay connected with your emotions.
I am afraid of failure,Failures are stepping stones to success. Learn and grow from them.
I feel like crying,"Crying is okay—allow yourself to feel, then find ways to comfort yourself."
I feel insecure,Recognize your strengths and practice self-affirmations.
I am struggling with self-esteem,You are valuable. Surround yourself with people who uplift you.
I have social anxiety,Start with small social interactions and gradually build confidence.
I feel worthless,You are not alone—many people struggle with this. Reach out for support.
I have negative thoughts,Challenge negative thoughts by questioning their validity.
I am feeling depressed,I'm sorry you're feeling this way. Try talking to a friend or journaling your thoughts.
I have anxiety issues,Take deep breaths and try relaxation exercises like meditation or yoga.
I feel lonely,"Engage in social activities, even if they are small, like calling a friend."
I can't sleep at night,Avoid screens before bed and maintain a consistent sleep schedule.
I feel overwhelmed,Break tasks into smaller steps and take short breaks to ease the load.
I am stressed about work,Try organizing your tasks with a to-do list to reduce stress.
I have lost interest in everything,Engage in hobbies or activities that once brought you joy.
